County,State,State Abbrv,Median Home Price Q3 2022
San Mateo County,California,CA,1575280
Marin County,California,CA,1467100
Santa Clara County,California,CA,1459600
San Francisco County,California,CA,1458510
Nantucket County,Massachusetts,MA,1444050
Dukes County,Massachusetts,MA,1143610
Teton County,Wyoming,WY,1102970
Alameda County,California,CA,1072780
New York County,New York,NY,1042100
Santa Cruz County,California,CA,1020890
Honolulu County,Hawaii,HI,965000
Orange County,California,CA,956470
Falls Church city,Virginia,VA,921730
Maui County,Hawaii,HI,898020
Kings County,New York,NY,878630
Pitkin County,Colorado,CO,875480
Contra Costa County,California,CA,871370
Arlington County,Virginia,VA,856960
King County,Washington,WA,851460
Summit County,Utah,UT,850430
Napa County,California,CA,848050
San Diego County,California,CA,843960
Kauai County,Hawaii,HI,838550
Los Angeles County,California,CA,827760
Monroe County,Florida,FL,816090
Sonoma County,California,CA,797370
San Luis Obispo County,California,CA,791530
Ventura County,California,CA,787170
San Benito County,California,CA,783120
Monterey County,California,CA,779000
Williamson County,Tennessee,TN,774160
Summit County,Colorado,CO,769510
Santa Barbara County,California,CA,768030
Eagle County,Colorado,CO,767710
Boulder County,Colorado,CO,751210
District of Columbia,District of Columbia,DC,736570
Middlesex County,Massachusetts,MA,722200
Suffolk County,Massachusetts,MA,718020
Douglas County,Colorado,CO,715730
Loudoun County,Virginia,VA,712930
Fairfax County,Virginia,VA,711170
Queens County,New York,NY,711050
Gallatin County,Montana,MT,703170
Snohomish County,Washington,WA,695150
Alexandria city,Virginia,VA,693250
Placer County,California,CA,693190
Nassau County,New York,NY,686470
Routt County,Colorado,CO,684030
Norfolk County,Massachusetts,MA,679460
San Juan County,Washington,WA,677520
El Dorado County,California,CA,672870
Richmond County,New York,NY,670630
Westchester County,New York,NY,656670
Fairfax city,Virginia,VA,656190
Broomfield County,Colorado,CO,654200
Nevada County,California,CA,638560
Ouray County,Colorado,CO,632970
Montgomery County,Maryland,MD,629580
Jefferson County,Colorado,CO,622410
Deschutes County,Oregon,OR,622100
Denver County,Colorado,CO,614800
Blaine County,Idaho,ID,612200
Elbert County,Colorado,CO,611730
Bergen County,New Jersey,NJ,607160
Essex County,Massachusetts,MA,596930
Barnstable County,Massachusetts,MA,592810
Yolo County,California,CA,590900
Clackamas County,Oregon,OR,588190
Solano County,California,CA,587880
Wasatch County,Utah,UT,583660
Whatcom County,Washington,WA,582190
Howard County,Maryland,MD,581310
Newport County,Rhode Island,RI,577670
San Miguel County,Colorado,CO,574820
Hawaii County,Hawaii,HI,570370
Larimer County,Colorado,CO,569970
Monmouth County,New Jersey,NJ,559870
Morris County,New Jersey,NJ,558540
Rockland County,New York,NY,557100
Island County,Washington,WA,556590
Washington County,Oregon,OR,550340
Riverside County,California,CA,548160
Arapahoe County,Colorado,CO,546680
Forsyth County,Georgia,GA,545460
Skagit County,Washington,WA,543290
Fairfield County,Connecticut,CT,541040
Suffolk County,New York,NY,540710
Utah County,Utah,UT,539520
Multnomah County,Oregon,OR,537650
Kitsap County,Washington,WA,537390
Clear Creek County,Colorado,CO,535210
Flathead County,Montana,MT,534870
Travis County,Texas,TX,530730
Plymouth County,Massachusetts,MA,530510
Washington County,Utah,UT,529860
Fauquier County,Virginia,VA,527880
Morgan County,Utah,UT,527660
Pierce County,Washington,WA,527150
Collier County,Florida,FL,523690
Gunnison County,Colorado,CO,522440
Salt Lake County,Utah,UT,521440
Somerset County,New Jersey,NJ,521110
Benton County,Oregon,OR,519910
Hudson County,New Jersey,NJ,518450
La Plata County,Colorado,CO,515720
Hood River County,Oregon,OR,515570
Sacramento County,California,CA,515560
Bronx County,New York,NY,515010
San Bernardino County,California,CA,514470
Ada County,Idaho,ID,512880
San Joaquin County,California,CA,510650
Washoe County,Nevada,NV,510600
Essex County,New Jersey,NJ,510140
Douglas County,Nevada,NV,507560
Davis County,Utah,UT,506970
St. Johns County,Florida,FL,505720
Kootenai County,Idaho,ID,505370
Prince William County,Virginia,VA,502920
Union County,New Jersey,NJ,502390
Washington County,Rhode Island,RI,501590
Hunterdon County,New Jersey,NJ,500620
Clark County,Washington,WA,499700
Chaffee County,Colorado,CO,498820
Rappahannock County,Virginia,VA,498550
Chelan County,Washington,WA,494550
Charleston County,South Carolina,SC,490090
Collin County,Texas,TX,485690
Chatham County,North Carolina,NC,485420
Weld County,Colorado,CO,483710
Adams County,Colorado,CO,482080
Rockingham County,New Hampshire,NH,481460
Walton County,Florida,FL,481460
Stafford County,Virginia,VA,481040
Fulton County,Georgia,GA,477030
Thurston County,Washington,WA,474500
Missoula County,Montana,MT,474490
Wake County,North Carolina,NC,472420
Kendall County,Texas,TX,470130
Maricopa County,Arizona,AZ,468700
Miami-Dade County,Florida,FL,467940
Gilpin County,Colorado,CO,467200
Goochland County,Virginia,VA,466170
Mendocino County,California,CA,465740
Putnam County,New York,NY,465170
Teton County,Idaho,ID,465120
Coconino County,Arizona,AZ,464320
Jefferson County,Washington,WA,461100
Garfield County,Colorado,CO,459860
Anne Arundel County,Maryland,MD,459290
Yamhill County,Oregon,OR,458760
Chester County,Pennsylvania,PA,458630
Orange County,North Carolina,NC,457670
Cumberland County,Maine,ME,455200
El Paso County,Colorado,CO,455150
Williamson County,Texas,TX,453530
Palm Beach County,Florida,FL,453330
Calvert County,Maryland,MD,452670
Cape May County,New Jersey,NJ,451090
Albemarle County,Virginia,VA,450370
Chittenden County,Vermont,VT,450260
Park County,Colorado,CO,449380
Grand County,Colorado,CO,449310
Beaufort County,South Carolina,SC,448840
Bristol County,Massachusetts,MA,447700
Passaic County,New Jersey,NJ,446010
Fayette County,Georgia,GA,445330
Denton County,Texas,TX,444620
Wilson County,Tennessee,TN,443260
Delaware County,Ohio,OH,443090
Comal County,Texas,TX,441800
Cache County,Utah,UT,441010
Clarke County,Virginia,VA,440360
Cherokee County,Georgia,GA,440170
Clark County,Nevada,NV,439890
Davidson County,Tennessee,TN,439740
Frederick County,Maryland,MD,439480
Middlesex County,New Jersey,NJ,439370
Sarasota County,Florida,FL,438640
James City County,Virginia,VA,438250
Stanislaus County,California,CA,435880
Rockwall County,Texas,TX,434910
Bristol County,Rhode Island,RI,433630
Mono County,California,CA,432990
Tooele County,Utah,UT,432910
Broward County,Florida,FL,432230
Clallam County,Washington,WA,432000
Carver County,Minnesota,MN,431310
Josephine County,Oregon,OR,431210
Yavapai County,Arizona,AZ,430620
Carroll County,Maryland,MD,429530
Martin County,Florida,FL,429190
Valley County,Idaho,ID,429050
Polk County,Oregon,OR,428450
Archuleta County,Colorado,CO,427250
Mason County,Washington,WA,426790
Santa Fe County,New Mexico,NM,425300
Mineral County,Colorado,CO,424850
Weber County,Utah,UT,421990
Sitka City and Borough,Alaska,AK,421450
Union County,North Carolina,NC,420550
Fredericksburg city,Virginia,VA,420460
Cobb County,Georgia,GA,420400
Alpine County,California,CA,419790
Bucks County,Pennsylvania,PA,419450
Kittitas County,Washington,WA,417560
Washington County,Minnesota,MN,416950
Prince George's County,Maryland,MD,416500
Mecklenburg County,North Carolina,NC,416200
Hillsborough County,New Hampshire,NH,415860
Humboldt County,California,CA,415680
Madera County,California,CA,414860
Worcester County,Massachusetts,MA,414780
Sumner County,Tennessee,TN,413290
Buncombe County,North Carolina,NC,413050
Spokane County,Washington,WA,412600
Charlottesville city,Virginia,VA,412040
Lane County,Oregon,OR,411940
St. Mary's County,Maryland,MD,411860
York County,Virginia,VA,411510
Yuba County,California,CA,411470
Manatee County,Florida,FL,410980
Queen Anne's County,Maryland,MD,410860
Juneau City and Borough,Alaska,AK,410450
Cowlitz County,Washington,WA,410300
Dutchess County,New York,NY,409300
Parker County,Texas,TX,409210
Seminole County,Florida,FL,408850
Charles County,Maryland,MD,407920
Montgomery County,Pennsylvania,PA,407340
Hinsdale County,Colorado,CO,405910
Benton County,Washington,WA,404850
Poquoson city,Virginia,VA,404850
Hays County,Texas,TX,404820
Skamania County,Washington,WA,404150
Oconee County,Georgia,GA,403930
Sutter County,California,CA,403160
Marion County,Oregon,OR,402390
Jackson County,Oregon,OR,400990
Grand County,Utah,UT,400650
Scott County,Minnesota,MN,399730
Orange County,Florida,FL,399630
Hanover County,Virginia,VA,399080
New Hanover County,North Carolina,NC,399030
Sumter County,Florida,FL,398790
Durham County,North Carolina,NC,397550
Hamilton County,Indiana,IN,397420
Butte County,California,CA,397160
Dare County,North Carolina,NC,396470
Park County,Montana,MT,396400
Nassau County,Florida,FL,396210
San Juan County,Colorado,CO,395600
Clatsop County,Oregon,OR,395350
DuPage County,Illinois,IL,394980
Waukesha County,Wisconsin,WI,393830
Calaveras County,California,CA,393590
Dane County,Wisconsin,WI,393460
Merced County,California,CA,393450
Canyon County,Idaho,ID,393270
Manassas city,Virginia,VA,391980
Frederick County,Virginia,VA,391430
York County,Maine,ME,391240
Lewis County,Washington,WA,391060
Talbot County,Maryland,MD,389670
Boone County,Indiana,IN,389390
Johnson County,Kansas,KS,388680
Ozaukee County,Wisconsin,WI,388680
Gillespie County,Texas,TX,388630
Bonneville County,Idaho,ID,388070
Amador County,California,CA,387930
Fresno County,California,CA,386370
Oldham County,Kentucky,KY,385990
Los Alamos County,New Mexico,NM,385950
Madison County,Montana,MT,385930
Spotsylvania County,Virginia,VA,384390
Rutherford County,Tennessee,TN,384320
Washtenaw County,Michigan,MI,384260
Hillsborough County,Florida,FL,384150
Hennepin County,Minnesota,MN,383180
Linn County,Oregon,OR,381660
Culpeper County,Virginia,VA,381500
Lewis and Clark County,Montana,MT,381360
Mesa County,Colorado,CO,380730
King George County,Virginia,VA,380690
Ravalli County,Montana,MT,380640
Anchorage Municipality,Alaska,AK,379700
Maury County,Tennessee,TN,378970
Orange County,New York,NY,378560
Gwinnett County,Georgia,GA,377270
Franklin County,Washington,WA,376330
Teller County,Colorado,CO,376220
Ocean County,New Jersey,NJ,374130
Pinellas County,Florida,FL,373910
Aleutians West Census Area,Alaska,AK,372980
Bonner County,Idaho,ID,372700
Pinal County,Arizona,AZ,372390
Twin Falls County,Idaho,ID,371490
Lee County,Florida,FL,371350
Fort Bend County,Texas,TX,371350
Williamsburg city,Virginia,VA,370990
Virginia Beach city,Virginia,VA,370760
Tuolumne County,California,CA,370170
Moore County,North Carolina,NC,370080
Klickitat County,Washington,WA,369280
Carson City,Nevada,NV,369180
Jackson County,Georgia,GA,368090
Harford County,Maryland,MD,366710
Kent County,Rhode Island,RI,366700
Mercer County,New Jersey,NJ,366630
DeKalb County,Georgia,GA,366100
Jefferson County,Montana,MT,366080
Dakota County,Minnesota,MN,365970
Shasta County,California,CA,364020
Yellowstone County,Montana,MT,363130
Manassas Park city,Virginia,VA,363060
Providence County,Rhode Island,RI,362690
Chesapeake city,Virginia,VA,361850
Henderson County,North Carolina,NC,361250
Ulster County,New York,NY,361240
Richmond city,Virginia,VA,361190
Ketchikan Gateway Borough,Alaska,AK,361170
Sublette County,Wyoming,WY,361120
Coweta County,Georgia,GA,360940
Okaloosa County,Florida,FL,359930
Merrimack County,New Hampshire,NH,359830
Grand Isle County,Vermont,VT,359520
Tillamook County,Oregon,OR,358570
Curry County,Oregon,OR,358330
Powhatan County,Virginia,VA,358290
Leelanau County,Michigan,MI,358260
New Kent County,Virginia,VA,358060
Chesterfield County,Virginia,VA,357360
Carbon County,Montana,MT,357250
Kodiak Island Borough,Alaska,AK,356480
Sherburne County,Minnesota,MN,356210
Strafford County,New Hampshire,NH,355630
Osceola County,Florida,FL,355500
Indian River County,Florida,FL,354780
Cabarrus County,North Carolina,NC,353980
York County,South Carolina,SC,353730
Middlesex County,Connecticut,CT,352490
Brunswick County,North Carolina,NC,351830
Livingston County,Michigan,MI,351120
Warren County,New Jersey,NJ,349770
Sussex County,New Jersey,NJ,348880
Charlotte County,Florida,FL,348270
Lake County,Montana,MT,348040
Hall County,Georgia,GA,347590
Douglas County,Washington,WA,346820
Columbia County,Oregon,OR,345010
Baltimore County,Maryland,MD,344630
St. Lucie County,Florida,FL,344390
Crook County,Oregon,OR,344060
Blanco County,Texas,TX,343390
Henrico County,Virginia,VA,342880
Montgomery County,Texas,TX,342130
McKenzie County,North Dakota,ND,341900
Ellis County,Texas,TX,341830
Brevard County,Florida,FL,341280
