County,Heat,Wet Bulb,Farm Crop Yields,Sea Level Rise,Very Large Fires,Economic Damages,Total Risk Score
"Mobile County, AL",6,7,8,4,2,7,34
"Clarke County, AL",7,5,9,1,1,7,30
"Escambia County, AL",6,5,8,1,1,8,29
"Washington County, AL",6,5,8,3,1,7,30
"Baldwin County, AL",6,6,5,4,1,8,30
"Greene County, AL",7,7,8,1,1,5,29
"Monroe County, AL",6,5,8,1,1,7,28
"Pickens County, AL",7,7,8,1,1,5,29
"Sumter County, AL",7,7,8,1,1,5,29
"Autauga County, AL",7,4,8,1,1,6,27
"Butler County, AL",6,4,8,1,1,7,27
"Choctaw County, AL",7,5,8,1,1,6,28
"Conecuh County, AL",6,4,8,1,1,7,27
"Elmore County, AL",7,4,8,1,1,6,27
"Lowndes County, AL",7,6,8,1,1,5,28
"Marengo County, AL",7,5,8,1,1,6,28
"Perry County, AL",6,4,8,1,1,7,27
"Tuscaloosa County, AL",7,6,8,1,1,5,28
"Wilcox County, AL",7,4,8,1,1,6,27
"Covington County, AL",6,4,8,1,1,6,26
"Geneva County, AL",6,2,8,1,1,7,25
"Henry County, AL",6,2,8,1,1,7,25
"Montgomery County, AL",7,5,8,1,1,5,27
"Russell County, AL",7,4,8,1,1,6,27
"Coffee County, AL",6,2,8,1,1,6,24
"Crenshaw County, AL",6,2,8,1,1,6,24
"Dallas County, AL",6,4,8,1,1,6,26
"Hale County, AL",6,4,8,1,1,6,26
"Houston County, AL",6,4,8,1,1,6,26
"Lamar County, AL",7,4,8,1,1,5,26
"Macon County, AL",6,2,8,1,1,6,24
"Shelby County, AL",6,4,8,1,2,5,26
"Bibb County, AL",6,4,8,1,1,5,25
"Bullock County, AL",6,2,8,1,1,6,24
"Chilton County, AL",6,4,8,1,1,6,26
"Coosa County, AL",6,1,8,1,1,6,23
"Fayette County, AL",7,2,8,1,1,5,24
"Morgan County, AL",7,5,7,1,1,5,26
"Pike County, AL",6,4,8,1,1,5,25
"St. Clair County, AL",6,2,8,1,2,6,25
"Walker County, AL",6,2,8,1,2,5,24
"Barbour County, AL",6,2,8,1,1,5,23
"Blount County, AL",6,2,7,1,2,6,24
"Cullman County, AL",6,4,7,1,2,5,25
"Dale County, AL",6,2,8,1,1,5,23
"Lauderdale County, AL",6,4,8,1,1,5,25
"Lawrence County, AL",6,4,8,1,1,5,25
"Madison County, AL",7,4,6,1,2,5,25
"Marion County, AL",7,2,8,1,1,5,24
"Tallapoosa County, AL",6,2,8,1,1,5,23
"Clay County, AL",6,2,8,1,1,5,23
"Colbert County, AL",6,2,8,1,1,5,23
"Franklin County, AL",6,4,7,1,1,5,24
"Jefferson County, AL",6,2,7,1,2,5,23
"Talladega County, AL",6,2,8,1,1,5,23
"Calhoun County, AL",6,2,6,1,2,5,22
"Cleburne County, AL",6,2,6,1,2,5,22
"Etowah County, AL",6,2,6,1,2,5,22
"Limestone County, AL",6,4,6,1,1,5,23
"Chambers County, AL",4,1,8,1,1,5,20
"Jackson County, AL",6,2,5,1,2,5,21
"Randolph County, AL",4,1,8,1,1,5,20
"Winston County, AL",6,2,6,1,1,5,21
"Lee County, AL",4,1,7,1,1,5,19
"Marshall County, AL",4,2,5,1,2,5,19
"Cherokee County, AL",4,1,4,1,2,5,17
"DeKalb County, AL",4,1,4,1,2,5,17
"Franklin County, AR",7,7,9,1,2,4,30
"White County, AR",7,2,8,1,6,4,28
"Grant County, AR",7,9,8,1,1,4,30
"Lawrence County, AR",6,7,8,1,2,4,28
"Mississippi County, AR",7,7,8,1,1,5,29
"Pulaski County, AR",7,7,8,1,1,4,28
"Clark County, AR",6,6,9,1,1,4,27
"Little River County, AR",7,4,9,1,1,5,27
"Logan County, AR",7,4,9,1,2,4,27
"Miller County, AR",7,4,9,1,1,5,27
"Randolph County, AR",6,6,8,1,2,4,27
"Conway County, AR",7,4,8,1,2,4,26
"Craighead County, AR",7,6,8,1,1,4,27
"Crawford County, AR",7,4,8,1,2,4,26
"Crittenden County, AR",7,6,7,1,1,5,27
"Faulkner County, AR",7,4,8,1,2,4,26
"Hempstead County, AR",7,2,9,1,1,5,25
"Hot Spring County, AR",7,4,8,1,2,4,26
"Jefferson County, AR",6,7,8,1,1,4,27
"Lonoke County, AR",6,7,8,1,1,4,27
"Poinsett County, AR",7,6,8,1,1,4,27
"Saline County, AR",6,4,8,1,2,5,26
"Sebastian County, AR",7,4,8,1,2,4,26
"Chicot County, AR",9,4,7,1,1,5,27
