ID,County,State,Median Price
CA - San Mateo County,San Mateo County,CA,1575280
CA - Marin County,Marin County,CA,1467100
CA - Santa Clara County,Santa Clara County,CA,1459600
CA - San Francisco County,San Francisco County,CA,1458510
MA - Nantucket County,Nantucket County,MA,1444050
MA - Dukes County,Dukes County,MA,1143610
WY - Teton County,Teton County,WY,1102970
CA - Alameda County,Alameda County,CA,1072780
NY - New York County,New York County,NY,1042100
CA - Santa Cruz County,Santa Cruz County,CA,1020890
HI - Honolulu County,Honolulu County,HI,965000
CA - Orange County,Orange County,CA,956470
VA - Falls Church city,Falls Church city,VA,921730
HI - Maui County,Maui County,HI,898020
NY - Kings County,Kings County,NY,878630
CO - Pitkin County,Pitkin County,CO,875480
CA - Contra Costa County,Contra Costa County,CA,871370
VA - Arlington County,Arlington County,VA,856960
WA - King County,King County,WA,851460
UT - Summit County,Summit County,UT,850430
CA - Napa County,Napa County,CA,848050
CA - San Diego County,San Diego County,CA,843960
HI - Kauai County,Kauai County,HI,838550
CA - Los Angeles County,Los Angeles County,CA,827760
FL - Monroe County,Monroe County,FL,816090
CA - Sonoma County,Sonoma County,CA,797370
CA - San Luis Obispo County,San Luis Obispo County,CA,791530
CA - Ventura County,Ventura County,CA,787170
CA - San Benito County,San Benito County,CA,783120
CA - Monterey County,Monterey County,CA,779000
TN - Williamson County,Williamson County,TN,774160
CO - Summit County,Summit County,CO,769510
CA - Santa Barbara County,Santa Barbara County,CA,768030
CO - Eagle County,Eagle County,CO,767710
CO - Boulder County,Boulder County,CO,751210
DC - District of Columbia,District of Columbia,DC,736570
MA - Middlesex County,Middlesex County,MA,722200
MA - Suffolk County,Suffolk County,MA,718020
CO - Douglas County,Douglas County,CO,715730
VA - Loudoun County,Loudoun County,VA,712930
VA - Fairfax County,Fairfax County,VA,711170
NY - Queens County,Queens County,NY,711050
MT - Gallatin County,Gallatin County,MT,703170
WA - Snohomish County,Snohomish County,WA,695150
VA - Alexandria city,Alexandria city,VA,693250
CA - Placer County,Placer County,CA,693190
NY - Nassau County,Nassau County,NY,686470
CO - Routt County,Routt County,CO,684030
MA - Norfolk County,Norfolk County,MA,679460
WA - San Juan County,San Juan County,WA,677520
CA - El Dorado County,El Dorado County,CA,672870
NY - Richmond County,Richmond County,NY,670630
NY - Westchester County,Westchester County,NY,656670
VA - Fairfax city,Fairfax city,VA,656190
CO - Broomfield County,Broomfield County,CO,654200
CA - Nevada County,Nevada County,CA,638560
