ID,land area in square miles
AL - Autauga County,594
AL - Baldwin County,1590
AL - Barbour County,885
AL - Bibb County,623
AL - Blount County,645
AL - Bullock County,623
AL - Butler County,777
AL - Calhoun County,606
AL - Chambers County,597
AL - Cherokee County,554
AL - Chilton County,693
AL - Choctaw County,914
AL - Clarke County,1238
AL - Clay County,604
AL - Cleburne County,560
AL - Coffee County,679
AL - Colbert County,593
AL - Conecuh County,850
AL - Coosa County,651
AL - Covington County,1030
AL - Crenshaw County,609
AL - Cullman County,735
AL - Dale County,561
AL - Dallas County,979
AL - DeKalb County,777
AL - Elmore County,618
AL - Escambia County,945
AL - Etowah County,535
AL - Fayette County,628
AL - Franklin County,634
AL - Geneva County,574
AL - Greene County,647
AL - Hale County,644
AL - Henry County,562
AL - Houston County,580
AL - Jackson County,1078
AL - Jefferson County,1111
AL - Lamar County,605
AL - Lauderdale County,668
AL - Lawrence County,691
AL - Lee County,608
AL - Limestone County,560
AL - Lowndes County,716
AL - Macon County,609
AL - Madison County,802
AL - Marengo County,977
AL - Marion County,742
AL - Marshall County,566
AL - Mobile County,1229
AL - Monroe County,1026
AL - Montgomery County,784
AL - Morgan County,579
AL - Perry County,720
AL - Pickens County,881
AL - Pike County,672
AL - Randolph County,581
AL - Russell County,641
AL - St. Clair County,632
AL - Shelby County,785
AL - Sumter County,904
AL - Talladega County,737
AL - Tallapoosa County,717
AL - Tuscaloosa County,1322
AL - Walker County,791
AL - Washington County,1080
AL - Wilcox County,889
AL - Winston County,613
AK - Aleutians East County,6982
AK - Aleutians West County,4390
AK - Anchorage County,1705
AK - Bethel County,40570
AK - Bristol Bay County,504
AK - Denali County,12751
AK - Dillingham County,18569
AK - Fairbanks North Star County,7338
AK - Haines County,2319
AK - Hoonah-Angoon County,7525
AK - Juneau County,2702
AK - Kenai Peninsula County,16075
AK - Ketchikan Gateway County,4858
AK - Kodiak Island County,6550
AK - Lake and Peninsula County,23652
AK - Matanuska-Susitna County,24608
AK - Nome County,22962
AK - North Slope County,88695
AK - Northwest Arctic County,35573
AK - Petersburg County,3282
AK - Prince of Wales-Hyder County,3923
AK - Sitka County,2870
