ID,Population
AL - Autauga County,58877
AL - Baldwin County,233140
AL - Barbour County,25180
AL - Bibb County,22223
AL - Blount County,59081
AL - Bullock County,10309
AL - Butler County,19045
AL - Calhoun County,116266
AL - Chambers County,34678
AL - Cherokee County,24958
AL - Chilton County,45024
AL - Choctaw County,12619
AL - Clarke County,22995
AL - Clay County,14193
AL - Cleburne County,15035
AL - Coffee County,53565
AL - Colbert County,57236
AL - Conecuh County,11552
AL - Coosa County,10383
AL - Covington County,37469
AL - Crenshaw County,13157
AL - Cullman County,88044
AL - Dale County,49214
AL - Dallas County,38190
AL - DeKalb County,71630
AL - Elmore County,88116
AL - Escambia County,36665
AL - Etowah County,103393
AL - Fayette County,16307
AL - Franklin County,32063
AL - Geneva County,26675
AL - Greene County,7704
AL - Hale County,14792
AL - Henry County,17167
AL - Houston County,107190
AL - Jackson County,52519
AL - Jefferson County,673341
AL - Lamar County,13943
AL - Lauderdale County,93610
AL - Lawrence County,33063
AL - Lee County,174601
AL - Limestone County,104322
AL - Lowndes County,10297
AL - Macon County,19476
AL - Madison County,389696
AL - Marengo County,19264
AL - Marion County,29287
AL - Marshall County,97608
AL - Mobile County,414250
AL - Monroe County,19723
AL - Montgomery County,228448
AL - Morgan County,123336
AL - Perry County,8452
AL - Pickens County,19062
AL - Pike County,32981
AL - Randolph County,21971
AL - Russell County,59226
AL - St. Clair County,91333
AL - Shelby County,223708
AL - Sumter County,12295
AL - Talladega County,82069
AL - Tallapoosa County,41229
AL - Tuscaloosa County,227153
AL - Walker County,65100
AL - Washington County,15296
AL - Wilcox County,10518
AL - Winston County,23491
AK - Aleutians East Borough,3418
AK - Aleutians West Census Area,5206
AK - Anchorage Municipality,290637
AK - Bethel Census Area,18648
AK - Bristol Bay Borough,831
AK - Chugach Census Area,7073
AK - Copper River Census Area,2616
AK - Denali Borough,1611
AK - Dillingham Census Area,4839
AK - Fairbanks North Star Borough,95286
AK - Haines Borough,2085
AK - Hoonah-Angoon Census Area,2361
AK - Juneau City and Borough,32195
AK - Kenai Peninsula Borough,58893
AK - Ketchikan Gateway Borough,13902
AK - Kodiak Island Borough,13023
AK - Kusilvak Census Area,8357
AK - Lake and Peninsula Borough,1454
AK - Matanuska-Susitna Borough,107460
AK - Nome Census Area,10032
AK - North Slope Borough,10993
AK - Northwest Arctic Borough,7784
AK - Petersburg Borough,3401
AK - Prince of Wales-Hyder Census Area,5725
AK - Sitka City and Borough,8428
AK - Skagway Municipality,1239
AK - Southeast Fairbanks Census Area,6831
AK - Wrangell City and Borough,2130
AK - Yakutat City and Borough,683
AK - Yukon-Koyukuk Census Area,5300
AZ - Apache County,65897
AZ - Cochise County,125398
AZ - Coconino County,145116
AZ - Gila County,53306
AZ - Graham County,38614
AZ - Greenlee County,9522
AZ - La Paz County,16580
AZ - Maricopa County,4438342
AZ - Mohave County,214070
AZ - Navajo County,106802
AZ - Pima County,1045599
AZ - Pinal County,429583
AZ - Santa Cruz County,47653
AZ - Yavapai County,237067
AZ - Yuma County,204437
AR - Arkansas County,17105
AR - Ashley County,18960
AR - Baxter County,41655
AR - Benton County,286353
AR - Boone County,37352
AR - Bradley County,10498
AR - Calhoun County,4725
AR - Carroll County,28202
AR - Chicot County,10143
AR - Clark County,21362
AR - Clay County,14508
AR - Cleburne County,24665
AR - Cleveland County,7544
AR - Columbia County,22741
AR - Conway County,20729
AR - Craighead County,111576
AR - Crawford County,60107
AR - Crittenden County,48067
AR - Cross County,16762
AR - Dallas County,6445
AR - Desha County,11330
AR - Drew County,17309
AR - Faulkner County,123666
AR - Franklin County,17122
AR - Fulton County,12033
AR - Garland County,100162
AR - Grant County,17975
AR - Greene County,45818
AR - Hempstead County,19993
AR - Hot Spring County,33034
AR - Howard County,12755
AR - Independence County,37892
AR - Izard County,13576
AR - Jackson County,16737
AR - Jefferson County,66811
AR - Johnson County,25692
AR - Lafayette County,6294
AR - Lawrence County,16196
AR - Lee County,8529
AR - Lincoln County,12879
AR - Little River County,11971
AR - Logan County,21097
AR - Lonoke County,74042
AR - Madison County,16551
AR - Marion County,16862
AR - Miller County,42570
AR - Mississippi County,40503
AR - Monroe County,6765
AR - Montgomery County,8459
AR - Nevada County,8284
AR - Newton County,7198
AR - Ouachita County,22592
AR - Perry County,9997
AR - Phillips County,16445
AR - Pike County,10165
AR - Poinsett County,22893
AR - Polk County,19182
AR - Pope County,63346
AR - Prairie County,8248
AR - Pulaski County,399073
AR - Randolph County,18581
AR - St. Francis County,23046
AR - Saline County,123681
AR - Scott County,9811
AR - Searcy County,7827
AR - Sebastian County,127739
AR - Sevier County,15778
AR - Sharp County,17282
AR - Stone County,12364
AR - Union County,38925
AR - Van Buren County,15765
AR - Washington County,246662
AR - White County,76810
AR - Woodruff County,6200
