ID,candidate,votes
DE - Kent County,Joe Biden,44552
DE - Kent County,Donald Trump,41009
DE - Kent County,Jo Jorgensen,1044
DE - Kent County,Howie Hawkins,420
DE - New Castle County,Joe Biden,195034
DE - New Castle County,Donald Trump,88364
DE - New Castle County,Jo Jorgensen,2953
DE - New Castle County,Howie Hawkins,1282
DE - Sussex County,Donald Trump,71230
DE - Sussex County,Joe Biden,56682
DE - Sussex County,Jo Jorgensen,1003
DE - Sussex County,Howie Hawkins,437
DC - District of Columbia,Joe Biden,39041
DC - District of Columbia,Donald Trump,1725
DC - District of Columbia, Write-ins,298
DC - District of Columbia,Howie Hawkins,259
DC - District of Columbia,Jo Jorgensen,204
DC - District of Columbia,Gloria La Riva,108
DC - District of Columbia,Brock Pierce,46
DC - Ward 2,Joe Biden,29078
DC - Ward 2,Donald Trump,2918
DC - Ward 2, Write-ins,370
DC - Ward 2,Jo Jorgensen,302
DC - Ward 2,Howie Hawkins,124
DC - Ward 2,Gloria La Riva,50
DC - Ward 2,Brock Pierce,39
DC - Ward 3,Joe Biden,39397
DC - Ward 3,Donald Trump,3705
DC - Ward 3, Write-ins,491
DC - Ward 3,Jo Jorgensen,344
DC - Ward 3,Howie Hawkins,159
DC - Ward 3,Gloria La Riva,74
DC - Ward 3,Brock Pierce,61
DC - Ward 4,Joe Biden,42489
DC - Ward 4,Donald Trump,1913
DC - Ward 4, Write-ins,308
DC - Ward 4,Howie Hawkins,234
DC - Ward 4,Jo Jorgensen,161
DC - Ward 4,Gloria La Riva,125
DC - Ward 4,Brock Pierce,66
DC - Ward 5,Joe Biden,43320
DC - Ward 5,Donald Trump,1769
DC - Ward 5, Write-ins,323
DC - Ward 5,Howie Hawkins,271
DC - Ward 5,Jo Jorgensen,212
DC - Ward 5,Gloria La Riva,115
DC - Ward 5,Brock Pierce,97
DC - Ward 6,Joe Biden,56719
DC - Ward 6,Donald Trump,4337
DC - Ward 6, Write-ins,857
DC - Ward 6,Jo Jorgensen,561
DC - Ward 6,Howie Hawkins,253
DC - Ward 6,Gloria La Riva,104
DC - Ward 6,Brock Pierce,87
DC - Ward 7,Joe Biden,36382
DC - Ward 7,Donald Trump,1134
DC - Ward 7, Write-ins,270
DC - Ward 7,Howie Hawkins,232
DC - Ward 7,Brock Pierce,132
DC - Ward 7,Jo Jorgensen,118
DC - Ward 7,Gloria La Riva,116
DC - Ward 8,Joe Biden,30897
DC - Ward 8,Donald Trump,1085
DC - Ward 8, Write-ins,220
DC - Ward 8,Howie Hawkins,194
DC - Ward 8,Brock Pierce,165
DC - Ward 8,Gloria La Riva,163
DC - Ward 8,Jo Jorgensen,134
FL - Alachua County,Joe Biden,89704
FL - Alachua County,Donald Trump,50972
FL - Alachua County,Jo Jorgensen,1390
FL - Alachua County,Howie Hawkins,302
FL - Alachua County,Gloria La Riva,94
FL - Alachua County,Rocky De La Fuente,70
FL - Alachua County,Don Blankenship,52
FL - Alachua County, Write-ins,20
FL - Baker County,Donald Trump,11911
FL - Baker County,Joe Biden,2037
FL - Baker County,Jo Jorgensen,93
FL - Baker County,Howie Hawkins,10
FL - Baker County,Rocky De La Fuente,4
FL - Baker County,Gloria La Riva,3
FL - Baker County,Don Blankenship,1
FL - Baker County, Write-ins,0
FL - Bay County,Donald Trump,66097
FL - Bay County,Joe Biden,25614
FL - Bay County,Jo Jorgensen,1004
FL - Bay County,Howie Hawkins,142
