ID,County,State,Heat,Wet Bulb,Farm Crop Yields,Sea Level Rise,Very Large Fires,Economic Damages,Total Risk Score
AL - Mobile County,Mobile County,AL,6,7,8,4,2,7,34
AL - Clarke County,Clarke County,AL,7,5,9,1,1,7,30
AL - Escambia County,Escambia County,AL,6,5,8,1,1,8,29
AL - Washington County,Washington County,AL,6,5,8,3,1,7,30
AL - Baldwin County,Baldwin County,AL,6,6,5,4,1,8,30
AL - Greene County,Greene County,AL,7,7,8,1,1,5,29
AL - Monroe County,Monroe County,AL,6,5,8,1,1,7,28
AL - Pickens County,Pickens County,AL,7,7,8,1,1,5,29
AL - Sumter County,Sumter County,AL,7,7,8,1,1,5,29
AL - Autauga County,Autauga County,AL,7,4,8,1,1,6,27
AL - Butler County,Butler County,AL,6,4,8,1,1,7,27
AL - Choctaw County,Choctaw County,AL,7,5,8,1,1,6,28
AL - Conecuh County,Conecuh County,AL,6,4,8,1,1,7,27
AL - Elmore County,Elmore County,AL,7,4,8,1,1,6,27
AL - Lowndes County,Lowndes County,AL,7,6,8,1,1,5,28
AL - Marengo County,Marengo County,AL,7,5,8,1,1,6,28
AL - Perry County,Perry County,AL,6,4,8,1,1,7,27
AL - Tuscaloosa County,Tuscaloosa County,AL,7,6,8,1,1,5,28
AL - Wilcox County,Wilcox County,AL,7,4,8,1,1,6,27
AL - Covington County,Covington County,AL,6,4,8,1,1,6,26
AL - Geneva County,Geneva County,AL,6,2,8,1,1,7,25
AL - Henry County,Henry County,AL,6,2,8,1,1,7,25
AL - Montgomery County,Montgomery County,AL,7,5,8,1,1,5,27
AL - Russell County,Russell County,AL,7,4,8,1,1,6,27
AL - Coffee County,Coffee County,AL,6,2,8,1,1,6,24
AL - Crenshaw County,Crenshaw County,AL,6,2,8,1,1,6,24
AL - Dallas County,Dallas County,AL,6,4,8,1,1,6,26
AL - Hale County,Hale County,AL,6,4,8,1,1,6,26
AL - Houston County,Houston County,AL,6,4,8,1,1,6,26
AL - Lamar County,Lamar County,AL,7,4,8,1,1,5,26
